Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
139,0,-0.0180022,0.0136362,-0.00943562,249.648,-321.439,233.069
140,0,-0.0178368,0.0136304,-0.0100167,249.641,-321.438,233.075
141,0,-0.0180053,0.0139315,-0.00959306,249.661,-321.439,233.083
142,0,-0.0181089,0.0141388,-0.009338,249.657,-321.449,233.08
143,0,-0.0175903,0.013814,-0.00956361,249.643,-321.443,233.08
144,0,-0.0180339,0.0136482,-0.00959746,249.644,-321.449,233.071
145,0,-0.0179036,0.0134263,-0.00957418,249.652,-321.449,233.067
146,0,-0.0179922,0.0137342,-0.00960306,249.637,-321.434,233.08
147,0,-0.0180815,0.013752,-0.00963337,249.642,-321.441,233.078
148,0,-0.0181461,0.0138058,-0.00938566,249.66,-321.456,233.069
149,0,-0.0179274,0.0137453,-0.00951406,249.66,-321.449,233.075
150,0,-0.0178521,0.0136067,-0.00978286,249.641,-321.438,233.081
151,0,-0.0177029,0.0135337,-0.0098494,249.642,-321.431,233.074
152,0,-0.0179509,0.0136655,-0.00959398,249.662,-321.457,233.061
153,0,-0.017813,0.0137294,-0.00980877,249.646,-321.437,233.081
154,0,-0.0181175,0.0139088,-0.0100059,249.628,-321.437,233.089
155,0,-0.0179463,0.0142235,-0.00993277,249.629,-321.544,233.09
156,0,-0.0183154,0.0139589,-0.00976571,249.642,-321.786,233.081
157,0,-0.0187616,0.0140032,-0.00963029,249.679,-322.087,233.096
158,0,-0.0190381,0.0146024,-0.0100432,249.683,-322.44,233.122
159,0,-0.0191343,0.014355,-0.0108156,249.677,-322.859,233.101
160,0,-0.0200032,0.0148732,-0.0116489,249.689,-323.33,233.112
161,0,-0.0184688,0.0143762,-0.0106942,249.71,-323.963,233.127
162,0,-0.0182089,0.0140056,-0.0100402,249.745,-324.628,233.135
163,0,-0.0191533,0.0149201,-0.0103938,249.798,-325.365,233.166
164,0,-0.0186505,0.0139948,-0.0105627,249.832,-326.183,233.181
165,0,-0.0185196,0.0140839,-0.0103296,249.866,-326.936,233.221
166,0,-0.0175772,0.0138548,-0.00996356,249.905,-327.696,233.218
167,0,-0.0180618,0.013688,-0.0106028,249.942,-328.454,233.212
168,0,-0.0185679,0.0143368,-0.0111192,249.941,-329.197,233.238
169,0,-0.0184003,0.0138416,-0.0109066,249.96,-329.985,233.254
170,0,-0.0183279,0.0136593,-0.0108505,250.009,-330.722,233.286
171,0,-0.0181897,0.014038,-0.0108568,250.055,-331.494,233.289
172,0,-0.0188094,0.0143174,-0.0107234,250.044,-332.289,233.322
173,0,-0.0197011,0.0138719,-0.00997113,250.063,-333.035,233.321
174,0,-0.0193972,0.0136325,-0.00992431,250.096,-333.795,233.33
175,0,-0.0182287,0.0138595,-0.0107479,250.144,-334.539,233.356
176,0,-0.0191422,0.0144143,-0.0105509,250.16,-335.294,233.395
177,0,-0.0183746,0.0137318,-0.0109003,250.175,-336.078,233.388
178,0,-0.0190213,0.0138956,-0.0103276,250.222,-336.835,233.396
